구분,1세대,1세대,2세대,2세대,3세대,4세대
기존명칭,신계약,신계약,표준화 실손(신신계약),개정실손(1601),착한실손(1704),4세대실손
시기,2003.10 ~ 2009.07,2003.10 ~ 2009.07,2009.08~ 2015.12,2016.01~2017.03,2017.04~2021.06,2021.07 ~ 현재
담보보상비율,"일반상해의료비
실제본인부담액 100%","상해(입원/통원)
환자부담총액 100%","(선택형)실제본인부담금×90%
[2015.09 변경]
(표준형)본인부담금×80%
(선택형Ⅱ)급여90%+비급여80%","(표준형) 실제본인부담금x80%
(선택형Ⅱ)급여90%+비급여80%","(1704)기본형+특약형(3대비급여)
기본형 : (표준형) 실제본인부담금x80%
(선택형Ⅱ)급여90%+비급여80%","(2107)기본형(급여x80%)+특약형(비급여x70%,3대비급여)"
건보미적용,실제본인부담금×50% 보상,환자부담총액×40% 보상,실제본인부담금×40% 보상,실제본인부담금×40% 보상,실제본인부담금×40% 보상,실제본인부담금×40% 보상
병실료차액,"면책
(단, 부득이한 사유인 경우 7일한도 보상)","병실료 차액×50% 보상
(특실, 1인실 사용시 2인실 기준 50%)",병실료차액×50%(1일 10만원 한도)보상,병실료차액×50%(1일 10만원 한도)보상,병실료차액×50%(1일 10만원 한도)보상,병실료차액×50%(1일 10만원 한도)보상
"계약자,수익자고의","보험수익자, 계약자의 고의로 피보험자를 해친 경우
(단, 그 수익자가 보험금의 일부수익자인 경우 그 수익자 외 다른 수익자는 보험금 지급)","보험수익자, 계약자의 고의로 피보험자를 해친 경우
(단, 그 수익자가 보험금의 일부수익자인 경우 그 수익자 외 다른 수익자는 보험금 지급)","보험수익자, 계약자의 고의로 피보험자를 해친 경우
(단, 그 수익자가 보험금의 일부수익자인 경우 그 수익자 외 다른 수익자는 보험금 지급)","보험수익자, 계약자의 고의로 피보험자를 해친 경우
(단, 그 수익자가 보험금의 일부수익자인 경우 그 수익자 외 다른 수익자는 보험금 지급)","보험수익자, 계약자의 고의로 피보험자를 해친 경우
(단, 그 수익자가 보험금의 일부수익자인 경우 그 수익자 외 다른 수익자는 보험금 지급)","보험수익자, 계약자의 고의로 피보험자를 해친 경우
(단, 그 수익자가 보험금의 일부수익자인 경우 그 수익자 외 다른 수익자는 보험금 지급)"
시력교정술,"-
(약관 명시 없으나 상해치료목적 확인)","위생관리, 미모를 위한 성형수술비","안경, 콘택트렌즈 대체 위한 시력교정술","안경, 콘택트렌즈를 대체하기 위한 시력교정술(건강보험 미적용 수술방법 또는 치료재료 사용된 경우 시력교정술로 면책)","안경, 콘택트렌즈를 대체하기 위한 시력교정술(건강보험 미적용 수술방법 또는 치료재료 사용된 경우 시력교정술로 면책)","안경, 콘택트렌즈를 대체하기 위한 시력교정술(건강보험 미적용 수술방법 또는 치료재료 사용된 경우 시력교정술로 면책)"
영양제/보신용,"-한약재등 보신용 투약비용
- 상당한 사유가 없는 고단위 영양제 투여","-한약재등 보신용 투약비용
- 상당한 사유가 없는 고단위 영양제 투여
- 피로, 권태, 심신허약 등을 치료하기 위한 안정치료비","영양제, 종합비타민제, 호르몬 투여, 보신용 투약과 관련된 비용 등에 소요된 비용","영양제, 비타민제, 호르몬 투여, 보신용 투약, 의약외품과 관련하여 소요된 비용","영양제, 비타민제, 호르몬 투여, 보신용 투약, 의약외품과 관련하여 소요된 비용","영양제, 비타민제, 호르몬 투여, 보신용 투약, 의약외품과 관련하여 소요된 비용"
"천재지변, 핵,방사능","- 지진, 분화, 해일 또는 이와 비슷한 천재지변
- 핵연료 물질, 방사능오염",,"- (삭제)
- 핵연료 물질, 방사능오염(0908~1004까지)",(삭제),(삭제),(삭제)
중독,"알콜중독, 습관성 약품 또는 환각제의 복용 및 사용","-  알콜중독, 습관성 약품 또는 환각제의 복용 및 사용
- 세균성 음식물중독, 상습적 유독가스(물질) 흡입, 흡수로 인한 중독증상","- 알콜중독, 습관성 약품 또는 환각제의 복용 및 사용(0908~1004까지)
- 세균성 음식물중독, 상습적 유독가스(물질), 흡입, 흡수로 인한 중독증상","-(삭제)
- 세균성 음식물중독, 상습적 유독가스(물질), 흡입, 흡수로 인한 중독증상","-(삭제)
- 세균성 음식물중독, 상습적 유독가스(물질), 흡입, 흡수로 인한 중독증상","-(삭제)
- 세균성 음식물중독, 상습적 유독가스(물질), 흡입, 흡수로 인한 중독증상"
의사지시불이행,-,정당한 사유없이 입원 중 의사의 지시에 따르지 않은 경우 의료비 전부 또는 일부,정당한 사유없이 의사의 지시에 따르지 않아 이로 인해 악화된 부분,정당한 사유없이 의사의 지시에 따르지 않거나 의사가 통원치료 가능하다고 인정함에도 자의적으로 입원하여 발생한 의료비,정당한 사유없이 의사의 지시에 따르지 않거나 의사가 통원치료 가능하다고 인정함에도 자의적으로 입원하여 발생한 의료비,정당한 사유없이 의사의 지시에 따르지 않거나 의사가 통원치료 가능하다고 인정함에도 자의적으로 입원하여 발생한 의료비
자동차/산재보험,"자동차사고, 산업재해 보상받는 의료비(본인부담 외 + 본인부담)×50% 보상","자동차보험(공제를 포함), 산재보험에서 보상받는 의료비
(다만, 본인부담의료비는 건강보험 미적용 기준에 따라 보상)","자동차보험(공제를 포함), 산재보험에서 보상받는 의료비
(다만, 본인부담의료비는 건강보험 미적용 기준에 따라 보상)","자동차보험(공제를 포함), 산재보험에서 보상받는 의료비
다만, 본인부담의료비는 건강보험 적용 기준으로 산정
 [소급적용불가 1601 이후 약관만 적용]

(실무)약관상 면책사유 해당여부 질병치료 여부 확인 필요
산재가 아닌 공상처리 등 회사수납은 의료보험 적용여부에 따라 처리","자동차보험(공제를 포함), 산재보험에서 보상받는 의료비
다만, 본인부담의료비는 건강보험 적용 기준으로 산정
 [소급적용불가 1601 이후 약관만 적용]

(실무)약관상 면책사유 해당여부 질병치료 여부 확인 필요
산재가 아닌 공상처리 등 회사수납은 의료보험 적용여부에 따라 처리","자동차보험(공제를 포함), 산재보험에서 보상받는 의료비
다만, 본인부담의료비는 건강보험 적용 기준으로 산정
 [소급적용불가 1601 이후 약관만 적용]

(실무)약관상 면책사유 해당여부 질병치료 여부 확인 필요
산재가 아닌 공상처리 등 회사수납은 의료보험 적용여부에 따라 처리"
응급관리료,보상가능,보상가능,보상가능,"(통원)상급종합병원 비응급환자의 응급의료관리료
(비급여, 전액본인부담 면책, 종합병원은 보상)","(통원)상급종합병원 비응급환자의 응급의료관리료
(비급여, 전액본인부담 면책, 종합병원은 보상)","(입∙통원) 상급종합병원 또는 의료법상 종합병원 중 권역응급의료센터의 비응급환자의 응급의료관리료
(비급여, 전액본인부담 면책)"
"검진, 예방접종","-
(약관 명시 없으나 상해치료목적 확인)","상해를 원인으로 하지 않는 신체검사, 예방접종","건강검진(단, 검사결과 이상소견에 따라 발생한 추가비용 보상), 예방접종(단, 회사가 보상하는 상해치료 목적인 경우 보상)","건강검진(단, 검사결과 이상소견에 따라 발생한 추가비용 보상), 예방접종(단, 회사가 보상하는 상해치료 목적인 경우 보상)","건강검진(단, 검사결과 이상소견에 따라 발생한 추가비용 보상), 예방접종(단, 회사가 보상하는 상해치료 목적인 경우 보상)","건강검진(단, 검사결과 이상소견에 따라 발생한 추가비용), 예방접종(단, 회사가 보상하는 상해치료 목적인 경우 보상), 그 밖에 예방진료로 비급여에해당 치료"
