구분,1세대,1세대,2세대,2세대,3세대,4세대
기존명칭,신계약,신계약,표준화 실손(신신계약),개정실손(1601),착한실손(1704),4세대실손
시기,2003.10 ~ 2009.07,2003.10 ~ 2009.07,2009.08~ 2015.12,2016.01~2017.03,2017.04~2021.06,2021.07 ~ 현재
입원보상비율,"환자부담총액×80%
(500/800만원 한도)",환자부담총액×100%,"(선택형)실제본인부담금×90%
▶2015.09 변경
(표준형)본인부담금×80%
(선택형Ⅱ)급여90%+비급여80%","(표준형) 실제본인부담금x80%
(선택형Ⅱ)급여90%+비급여80%","(1704)기본형+특약형(3대비급여)
기본형 : (표준형) 실제본인부담금x80%
(선택형Ⅱ)급여90%+비급여80%","(2107)기본형(급여x80%)+
특약형(비급여x70%,3대비급여)"
건보미적용,환자부담총액×30% 보상,환자부담총액×40% 보상,실제본인부담금×40% 보상,실제본인부담금×40% 보상,실제본인부담금×40% 보상,실제본인부담금×40% 보상
병실료차액,면책,"병실료 차액×50% 보상
(특실, 1인실 사용시 2인실 기준 50%)",병실료차액×50%(1일 10만원 한도)보상,병실료차액×50%(1일 10만원 한도)보상,병실료차액×50%(1일 10만원 한도)보상,병실료차액×50%(1일 10만원 한도)보상
산재보험,"산재보험에서 보상받는 의료비
다만, 본인부담의료비는 건강보험 미적용 기준에 따라 보상","산재보험에서 보상받는 의료비
다만, 본인부담의료비는 건강보험 미적용 기준에 따라 보상","산재보험에서 보상받는 의료비
다만, 본인부담의료비는 건강보험 미적용 기준에 따라 보상","산재보험에서 보상받는 의료비
다만, 본인부담의료비는 건강보험 적용 기준으로 산정","산재보험에서 보상받는 의료비
다만, 본인부담의료비는 건강보험 적용 기준으로 산정","산재보험에서 보상받는 의료비
다만, 본인부담의료비는 건강보험 적용 기준으로 산정"
"보신제, 영양제","한약재 등의 보신용 투약 비용
상당한 사유가 없는 고단위 영양제 투약비용","한약재 등의 보신용 투약 비용
상당한 사유가 없는 고단위 영양제 투약비용","영양제, 종합비타민제, 보신용 투약과 관련 소요된 비용","영양제, 비타민제, 보신용 투약, 의약외품과 관련하여 소요된 비용","영양제, 비타민제, 보신용 투약, 의약외품과 관련하여 소요된 비용","영양제, 비타민제, 보신용 투약, 의약외품과 관련하여 소요된 비용"
시력교정술,"위생관리, 미모를 위한 성형수술비","위생관리, 미모를 위한 성형수술비","안경, 콘택트렌즈 대체 위한 시력교정술","안경, 콘택트렌즈를 대체하기 위한 시력교정술(건강보험 미적용 수술방법 또는 치료재료 사용된 경우 시력교정술로 면책)","안경, 콘택트렌즈를 대체하기 위한 시력교정술(건강보험 미적용 수술방법 또는 치료재료 사용된 경우 시력교정술로 면책)","안경, 콘택트렌즈를 대체하기 위한 시력교정술(건강보험 미적용 수술방법 또는 치료재료 사용된 경우 시력교정술로 면책)"
정신질환,심신상실 및 정신적 기능장해,"정신과 질환 및 행동장애(F04-F99)
단, 치매(F01-F03)는 보장","정신과 질환 및 행동장애(F04-F99)
단, 치매(F01-F03)는 보장
*F51 급여에 한하여 보상
[0908소급적용]","정신 및 행동장애(F04-F99) 
단, F04-F09 /F20-F29 /F30-F39 /F40-F48 /F51/F90-F98 시 급여는 보상
 [소급적용불가 1601 이후 약관만 적용]","정신 및 행동장애(F04-F99) 
단, F04-F09 /F20-F29 /F30-F39 /F40-F48 /F51/F90-F98 시 급여는 보상
 [소급적용불가 1601 이후 약관만 적용]","정신 및 행동장애(F04-F99) 
단, F04-F09 /F20-F29 /F30-F39 /F40-F48 /F51/F90-F98 시 급여는 보상
 [소급적용불가 1601 이후 약관만 적용]"
응급관리료,-,-,-,"(통원)상급종합병원 비응급환자의 응급의료관리료
(비급여, 전액본인부담 면책, 종합병원은 보상)","(통원)상급종합병원 비응급환자의 응급의료관리료
(비급여, 전액본인부담 면책, 종합병원은 보상)","(입∙통원) 상급종합병원 또는 의료법상 종합병원 중 권역응급의료센터의 비응급환자의 응급의료관리료
(비급여, 전액본인부담 면책)"
의사지시불이행,-,정당한 사유없이 입원 중 의사의 지시에 따르지 않은 경우 의료비 전부 또는 일부,정당한 사유없이 의사의 지시에 따르지 않아 이로 인해 악화된 부분,정당한 사유없이 의사의 지시에 따르지 않거나 의사가 통원치료 가능하다고 인정함에도 자의적으로 입원하여 발생한 의료비,정당한 사유없이 의사의 지시에 따르지 않거나 의사가 통원치료 가능하다고 인정함에도 자의적으로 입원하여 발생한 의료비,정당한 사유없이 의사의 지시에 따르지 않거나 의사가 통원치료 가능하다고 인정함에도 자의적으로 입원하여 발생한 의료비
호르몬/키성장,"위생관리, 미모를 위한 성형수술비","위생관리, 미모를 위한 성형수술비","호르몬 투여, 성장촉진과 관련된 비용","호르몬 투여 (단, 성조숙증을 치료하기 위한 급여적용 일부본인부담금 보상), 성장촉진","호르몬 투여 (단, 성조숙증을 치료하기 위한 급여적용 일부본인부담금 보상), 성장촉진","- (질병급여)성장호르몬제 투여에 소요된 전액본인부담금
- (비급여, 3대급여)질병이 아닌 단순 키 성장(성장촉진) 목적 진료
 즉, 급여 적용 일부본인부담금만 보상"
선천질환,선천성 뇌질환(Q00-Q04),"- 선천성 기형 변형 및 염색체 이상(Q00-Q99)
*0904 부터 선천성 뇌질환만 면책 (Q00-Q04)",선천성 뇌질환(Q00-Q04),선천성 뇌질환(Q00-Q04),선천성 뇌질환(Q00-Q04),"선천성 뇌질환(Q00-Q04)
다만, 급여에 한하여 가입당시 태아인 경우 보상(비급여 면책)"
외모개선 목적치료,"위생관리, 미모를 위한 성형수술비","위생관리, 미모를 위한 성형수술비","- 쌍꺼풀수술(이중검수술. 단, 안검하수 및 안검내반 치료목적은 보상), 코성형수술(융비술), 유방확대(유방암 환자의 유방재건술은 보상)축소술, 지방흡입술, 주름살제거술 등 [0908소급적용]
- 사시교정, 안와격리증의 교정 등 시각계 수술로써 시력개선 목적 아닌 외모개선 목적 수술
- 그 외 외모개선 목적의 치료로 건강보험 비급여 대상에 해당하는 치료","- 쌍꺼풀수술(이중검수술. 단, 안검하수 및 안검내반 치료목적은 보상), 코성형수술(융비술), 유방확대(유방암 환자의 유방재건술은 보상)축소술, 지방흡입술, 주름살제거술 등 [0908소급적용]
- 사시교정, 안와격리증의 교정 등 시각계 수술로써 시력개선 목적 아닌 외모개선 목적 수술
- 그 외 외모개선 목적의 치료로 건강보험 비급여 대상에 해당하는 치료","- 쌍꺼풀수술(이중검수술. 단, 안검하수 및 안검내반 치료목적은 보상), 코성형수술(융비술), 유방확대(유방암 환자의 유방재건술은 보상)축소술, 지방흡입술, 주름살제거술 등 [0908소급적용]
- 사시교정, 안와격리증의 교정 등 시각계 수술로써 시력개선 목적 아닌 외모개선 목적 수술
- 그 외 외모개선 목적의 치료로 건강보험 비급여 대상에 해당하는 치료","- 쌍꺼풀수술(이중검수술), 코성형수술(융비술), 유방확대(유방암 환자의 유방재건술은 보상),축소술, 지방흡입술, 주름살제거술 등 미용목적 성형수술과 그로 인한 후유증치료
- 사시교정, 안와격리증의 교정 등 시각계 수술로써 시력개선 목적 아닌 외모개선 목적 수술
- 그 외 외모개선 목적의 치료로 건강보험 비급여 대상에 해당하는 치료
- (비급여, 3대급여)질병이 아닌 단순 키 성장(성장촉진) 목적 진료
- 치과교정
- 씹는 기능 및 발음기능 개선 목적이 아닌 외모개선 목적의 턱얼굴(안면)교정술,
- 관절운동 제한이 없는 반흔구축성형술 등 외모개선 목적의 반흔제거술"
비만,비만치료비,비만치료비,비만(E66),비만(E66),비만(E66),"[급여] (삭제) 즉, 건보적용 일부본인부담금 + 전액본인부담금 지급
[비급여, 3대비급여] 비만(E66) 명시 면책"
